primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,merger-ringdown,SPA+PN,,1.0125356109114136e-10
70.375,35.1875,105.5625,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,41.65314231421506,full,SPA+PN,,1.4967255212994246e-09
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,inspiral,FSD,1,1.7094103910153535e-11
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,merger-ringdown,FSD,1,1.0682565942943256e-12
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,full,FSD,1,7.833178550242792e-12
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,inspiral,SPA+PN,,3.7511105333010164e-10
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,merger-ringdown,SPA+PN,,1.226224677353116e-10
80.25,40.125,120.375,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,36.52759987991134,full,SPA+PN,,1.0999623434315708e-09
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,FSD,1,1.150579631570281e-11
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,FSD,1,7.127187728883655e-12
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,FSD,1,9.548029034078809e-12
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,inspiral,SPA+PN,,2.1676216377386481e-10
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,merger-ringdown,SPA+PN,,1.4947343363047594e-10
90.125,45.0625,135.1875,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,32.52526924119706,full,SPA+PN,,8.329574807675044e-10
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,FSD,1,4.50106618643531e-12
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,FSD,1,4.1141534623534426e-12
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,FSD,1,5.067612995901527e-12
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,inspiral,SPA+PN,,1.1867884452954058e-10
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,merger-ringdown,SPA+PN,,1.6565560034820237e-10
100.0,50.0,150.0,0.5,0.5,0.0001,aLIGOZeroDetHighPower,20.0,29.313398903628848,full,SPA+PN,,6.361412507871478e-10
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,FSD,1,6.935464160751081e-07
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,FSD,1,1.0008327500088399e-11
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,FSD,1,5.522245553057914e-07
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,inspiral,SPA+PN,,5.499173993950279e-08
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,merger-ringdown,SPA+PN,,9.997291883223625e-11
21.0,10.5,31.5,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,139.58761382680404,full,SPA+PN,,5.4061342513733734e-08
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,FSD,1,9.244852994250152e-09
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,FSD,1,5.242806189187377e-12
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,FSD,1,6.821730513806301e-09
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,inspiral,SPA+PN,,1.3919854380262109e-08
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,merger-ringdown,SPA+PN,,1.9802837147864238e-10
30.875,15.4375,46.3125,0.99,0.99,0.0001,aLIGOZeroDetHighPower,20.0,94.94218268381813,full,SPA+PN,,3.3894399176226386e-08
