primary_mass_msun,secondary_mass_msun,total_mass_msun,chi1,chi2,acceleration_s_inv,psd,f_low_hz,f_isco_hz,stage,method,fsd_order,mismatch
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,FSD,1,4.868405678593035e-11
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,SPA+PN,,5.341777020717586e-10
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,SPA+PN,,2.3389068459778173e-12
70.375,35.1875,105.5625,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,SPA+PN,,5.34216448855318e-10
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,FSD,1,2.6259550089946515e-11
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,FSD,1,9.129363931492662e-13
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,FSD,1,2.1172952280323898e-11
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,SPA+PN,,3.2387370563213835e-10
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,SPA+PN,,2.0019541580040823e-12
80.25,40.125,120.375,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,SPA+PN,,3.753184429911016e-10
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,1,1.2480905198231085e-11
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,1,1.3722356584366935e-13
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,1,9.988121441040221e-12
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,SPA+PN,,2.084418193604165e-10
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,SPA+PN,,1.465161325597819e-12
90.125,45.0625,135.1875,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,SPA+PN,,2.84628987046176e-10
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,1,7.753575559377168e-12
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,1,1.9555468355747507e-12
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,1,6.820322084877262e-12
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,SPA+PN,,1.4216061661187496e-10
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,SPA+PN,,3.657407710022653e-12
100.0,50.0,150.0,0.5,0.5,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,SPA+PN,,2.2900326079877686e-10
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,FSD,1,3.1057529206401924e-05
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,FSD,1,6.228351168147128e-14
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,FSD,1,2.6261854877085433e-05
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,inspiral,SPA+PN,,4.308993795110183e-07
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,merger-ringdown,SPA+PN,,9.265921363521556e-13
21.0,10.5,31.5,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,139.58761382680404,full,SPA+PN,,4.4595134363056843e-07
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,FSD,1,2.3338118126936536e-07
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,FSD,1,3.552713678800501e-14
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,FSD,1,1.764573605012032e-07
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,inspiral,SPA+PN,,4.145976428837628e-08
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,merger-ringdown,SPA+PN,,1.871169885703239e-12
30.875,15.4375,46.3125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,94.94218268381813,full,SPA+PN,,3.577199825244293e-08
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,FSD,1,7.704435533995024e-09
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,FSD,1,2.0183854587685346e-13
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,FSD,1,5.4750571854000896e-09
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,inspiral,SPA+PN,,6.7008807391744085e-09
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,merger-ringdown,SPA+PN,,3.2834845953289005e-12
40.75,20.375,61.125,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,71.93472123589902,full,SPA+PN,,4.904511796688382e-09
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,FSD,1,7.284678416041857e-10
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,FSD,1,1.52433621281034e-12
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,FSD,1,5.350305753992757e-10
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,inspiral,SPA+PN,,1.8990219396997077e-09
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,merger-ringdown,SPA+PN,,6.090128401581296e-12
50.625,25.3125,75.9375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,57.9030101800076,full,SPA+PN,,2.1269065397788722e-09
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,FSD,1,2.3026769380152246e-10
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,FSD,1,1.7915668948376151e-12
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,FSD,1,1.679130168241727e-10
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,inspiral,SPA+PN,,1.116691739078135e-09
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,merger-ringdown,SPA+PN,,7.927769551940855e-12
60.5,30.25,90.75,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,48.451899014262565,full,SPA+PN,,2.0914419085471536e-09
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,FSD,1,9.117429033977942e-11
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,FSD,1,1.158961815406201e-12
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,FSD,1,6.656342144140126e-11
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,inspiral,SPA+PN,,8.021956432457955e-10
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,merger-ringdown,SPA+PN,,8.827938380306932e-12
70.375,35.1875,105.5625,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,41.65314231421506,full,SPA+PN,,2.0478976292537254e-09
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,FSD,1,4.0965453251828876e-11
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,FSD,1,1.8962609260597674e-13
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,FSD,1,2.996480841233051e-11
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,inspiral,SPA+PN,,5.986183770900766e-10
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,merger-ringdown,SPA+PN,,9.396927680427325e-12
80.25,40.125,120.375,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,36.52759987991134,full,SPA+PN,,1.9058176148334383e-09
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,FSD,1,2.114131092412208e-11
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,FSD,1,6.259437412836633e-13
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,FSD,1,1.5725420965395642e-11
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,inspiral,SPA+PN,,4.5628911760076107e-10
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,merger-ringdown,SPA+PN,,1.1721068560177628e-11
90.125,45.0625,135.1875,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,32.52526924119706,full,SPA+PN,,1.7169303756503496e-09
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,FSD,1,1.1542655720120365e-11
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,FSD,1,7.149836278586008e-14
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,FSD,1,8.514855487362638e-12
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,inspiral,SPA+PN,,3.5034775081044245e-10
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,merger-ringdown,SPA+PN,,1.4069634346469684e-11
100.0,50.0,150.0,0.99,0.99,1e-05,EinsteinTelescopeP1600143,10.0,29.313398903628848,full,SPA+PN,,1.5187441304576055e-09
